"Sequencing_Sample_Name","Sample_Name","Location","Latitude","Longitude","CRS","Date","Time","TimeZone","T","S"
"CO1_C8.1024.b.S59.L001","1024.b","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","12:00","UTC−08:00",14.7,33
"CO1_2.A3.1036.c.S109.L001","1036.c","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","14:00","UTC−08:00",16,32.8
"CO1_2.G1.1042.a.S99.L001","1042.a","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","15:30","UTC−08:00",16.4,32.9
"CO1_2.H8.1059.b.S156.L001","1059.b","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","12:30","UTC−08:00",14.9,32.7
"CO1_2.A1.1036.a.S93.L001","1036.a","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","14:00","UTC−08:00",16,32.8
"CO1_2.C7.1054.a.S143.L001","1054.a","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","13:30","UTC−08:00",15.9,32.9
"CO1_2.C8.1054.b.S151.L001","1054.b","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","13:30","UTC−08:00",15.9,32.9
"CO1_2.E9.1056.c.S161.L001","1056.c","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","14:30","UTC−08:00",16.2,33
"CO1_2.D4.1047.a.S120.L001","1047.a","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","17:00","UTC−08:00",15.2,33.5
"CO1_2.E8.1056.b.S153.L001","1056.b","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","14:30","UTC−08:00",16.2,33
"CO1_2.E7.1056.a.S145.L001","1056.a","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","14:30","UTC−08:00",16.2,33
"CO1_2.C5.1046.b.S127.L001","1046.b","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","14:00","UTC−08:00",16,32.8
"CO1_2.C6.1046.c.S135.L001","1046.c","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","14:00","UTC−08:00",16,32.8
"CO1_2.C4.1046.a.S119.L001","1046.a","S1",37.495306,-122.498744,"EPSG:4326","28 January 2022","14:00","UTC−08:00",16,32.8
"CO1_E1.1010.a.S5.L001","1010.a","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","14:30","UTC−08:00",15.9,32.8
"CO1_2.G6.1050.c.S139.L001","1050.c","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","15:00","UTC−08:00",15.6,33
"CO1_G4.1020.a.S31.L001","1020.a","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","14:00","UTC−08:00",15.2,33.1
"CO1_2.H2.1043.b.S108.L001","1043.b","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","15:30","UTC−08:00",15.3,32.9
"CO1_2.H3.1043.c.S116.L001","1043.c","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","15:30","UTC−08:00",15.3,32.9
"CO1_F4.1019.a.S30.L001","1019.a","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","14:00","UTC−08:00",15.2,33.1
"CO1_2.D10.1063.a.S168.L001","1063.a","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","16:30","UTC−08:00",15.1,33
"CO1_E2.1010.b.S13.L001","1010.b","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","14:30","UTC−08:00",15.9,32.8
"CO1_2.H1.1043.a.S100.L001","1043.a","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","15:30","UTC−08:00",15.3,32.9
"CO1_2.E2.1040.b.S105.L001","1040.b","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","11:30","UTC−08:00",13.4,33
"CO1_D11.1033.b.S82.L001","1033.b","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","17:00","UTC−08:00",15.1,33.3
"CO1_F7.1027.a.S54.L001","1027.a","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","12:00","UTC−08:00",13.5,33
"CO1_G5.1020.b.S39.L001","1020.b","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","14:00","UTC−08:00",15.2,33.1
"CO1_F6.1019.c.S46.L001","1019.c","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","14:00","UTC−08:00",15.2,33.1
"CO1_2.B4.1045.a.S118.L001","1045.a","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","14:00","UTC−08:00",15.2,33.1
"CO1_C2.1008.b.S11.L001","1008.b","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","17:00","UTC−08:00",15.1,33.3
"CO1_D6.1017.c.S44.L001","1017.c","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","16:00","UTC−08:00",15.2,32.9
"CO1_E3.1010.c.S21.L001","1010.c","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","14:30","UTC−08:00",15.9,32.8
"CO1_B3.1007.c.S18.L001","1007.c","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","17:00","UTC−08:00",15.1,33.3
"CO1_C3.1008.c.S19.L001","1008.c","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","17:00","UTC−08:00",15.1,33.3
"CO1_F8.1027.b.S62.L001","1027.b","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","12:00","UTC−08:00",13.5,33
"CO1_D12.1033.c.S89.L001","1033.c","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","17:00","UTC−08:00",15.1,33.3
"CO1_F5.1019.b.S38.L001","1019.b","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","14:00","UTC−08:00",15.2,33.1
"CO1_2.G5.1050.b.S131.L001","1050.b","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","15:00","UTC−08:00",15.6,33
"CO1_2.C1.1038.a.S95.L001","1038.a","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","11:30","UTC−08:00",13.4,33
"CO1_2.D11.1063.b.S173.L001","1063.b","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","16:30","UTC−08:00",15.1,33
"CO1_G6.1020.c.S47.L001","1020.c","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","14:00","UTC−08:00",15.2,33.1
"CO1_A7.1022.a.S49.L001","1022.a","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","13:30","UTC−08:00",15.1,32.6
"CO1_B1.1007.a.S2.L001","1007.a","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","17:00","UTC−08:00",15.1,33.3
"CO1_2.B5.1045.b.S126.L001","1045.b","S2",37.494992,-122.498955,"EPSG:4326","28 January 2022","14:00","UTC−08:00",15.2,33.1
