"","Sample","Dereplicated_Sample_Name","X","Sample_Name","Type","PCR","Time","Location","Extraction","T","S","SiteByTime","chart_num"
"66","CO1_H9.1029.c.S72.L001","1029","CO1_H9.1029.c.S72.L001","1029.c","sample","1","11:30","N","3",12.8,33.2,"N 11:30","2"
"67","CO1_A10.1030.a.S73.L001","1030","CO1_A10.1030.a.S73.L001","1030.a","sample","1","11:30","S1","3",14.3,33.2,"S1 11:30","2"
"68","CO1_A12.1030.c.S86.L001","1030","CO1_A12.1030.c.S86.L001","1030.c","sample","1","11:30","S1","3",14.3,33.2,"S1 11:30","2"
"69","CO1_A11.1030.b.S79.L001","1030","CO1_A11.1030.b.S79.L001","1030.b","sample","1","11:30","S1","3",14.3,33.2,"S1 11:30","2"
"70","CO1_B11.1031.b.S80.L001","1031","CO1_B11.1031.b.S80.L001","1031.b","sample","1","14:00","S1","3",16,32.8,"S1 14:00","1"
"71","CO1_B12.1031.c.S87.L001","1031","CO1_B12.1031.c.S87.L001","1031.c","sample","1","14:00","S1","3",16,32.8,"S1 14:00","1"
"72","CO1_B10.1031.a.S74.L001","1031","CO1_B10.1031.a.S74.L001","1031.a","sample","1","14:00","S1","3",16,32.8,"S1 14:00","1"
"73","CO1_D12.1033.c.S89.L001","1033","CO1_D12.1033.c.S89.L001","1033.c","sample","1","17:00","S2","4",15.1,33.3,"S2 17:00","3"
"74","CO1_D10.1033.a.S76.L001","1033","CO1_D10.1033.a.S76.L001","1033.a","sample","1","17:00","S2","4",15.1,33.3,"S2 17:00","3"
"75","CO1_D11.1033.b.S82.L001","1033","CO1_D11.1033.b.S82.L001","1033.b","sample","1","17:00","S2","4",15.1,33.3,"S2 17:00","3"
"76","CO1_E11.1034.b.S83.L001","1034","CO1_E11.1034.b.S83.L001","1034.b","sample","1","12:30","N","4",13.7,33.2,"N 12:30","1"
"77","CO1_E10.1034.a.S77.L001","1034","CO1_E10.1034.a.S77.L001","1034.a","sample","1","12:30","N","4",13.7,33.2,"N 12:30","1"
"78","CO1_E12.1034.c.S90.L001","1034","CO1_E12.1034.c.S90.L001","1034.c","sample","1","12:30","N","4",13.7,33.2,"N 12:30","1"
"79","CO1_F12.1035.c.S91.L001","1035","CO1_F12.1035.c.S91.L001","1035.c","sample","1","13:30","N","4",14.6,33.1,"N 13:30","1"
"80","CO1_F11.1035.b.S84.L001","1035","CO1_F11.1035.b.S84.L001","1035.b","sample","1","13:30","N","4",14.6,33.1,"N 13:30","1"
"81","CO1_F10.1035.a.S78.L001","1035","CO1_F10.1035.a.S78.L001","1035.a","sample","1","13:30","N","4",14.6,33.1,"N 13:30","1"
"82","CO1_2.A1.1036.a.S93.L001","1036","CO1_2.A1.1036.a.S93.L001","1036.a","sample","2","14:00","S1","4",16,32.8,"S1 14:00","2"
"83","CO1_2.A3.1036.c.S109.L001","1036","CO1_2.A3.1036.c.S109.L001","1036.c","sample","2","14:00","S1","4",16,32.8,"S1 14:00","2"
"84","CO1_2.A2.1036.b.S101.L001","1036","CO1_2.A2.1036.b.S101.L001","1036.b","sample","2","14:00","S1","4",16,32.8,"S1 14:00","2"
"85","CO1_2.B1.1037.a.S94.L001","1037","CO1_2.B1.1037.a.S94.L001","1037.a","sample","2","13:00","S1","4",15.6,32.7,"S1 13:00","1"
"86","CO1_2.B3.1037.c.S110.L001","1037","CO1_2.B3.1037.c.S110.L001","1037.c","sample","2","13:00","S1","4",15.6,32.7,"S1 13:00","1"
"87","CO1_2.B2.1037.b.S102.L001","1037","CO1_2.B2.1037.b.S102.L001","1037.b","sample","2","13:00","S1","4",15.6,32.7,"S1 13:00","1"
"88","CO1_2.C1.1038.a.S95.L001","1038","CO1_2.C1.1038.a.S95.L001","1038.a","sample","2","11:30","S2","4",13.4,33,"S2 11:30","2"
"89","CO1_2.C3.1038.c.S111.L001","1038","CO1_2.C3.1038.c.S111.L001","1038.c","sample","2","11:30","S2","4",13.4,33,"S2 11:30","2"
"90","CO1_2.C2.1038.b.S103.L001","1038","CO1_2.C2.1038.b.S103.L001","1038.b","sample","2","11:30","S2","4",13.4,33,"S2 11:30","2"
"91","CO1_2.E1.1040.a.S97.L001","1040","CO1_2.E1.1040.a.S97.L001","1040.a","sample","2","11:30","S2","4",13.4,33,"S2 11:30","3"
"92","CO1_2.E3.1040.c.S113.L001","1040","CO1_2.E3.1040.c.S113.L001","1040.c","sample","2","11:30","S2","4",13.4,33,"S2 11:30","3"
"93","CO1_2.E2.1040.b.S105.L001","1040","CO1_2.E2.1040.b.S105.L001","1040.b","sample","2","11:30","S2","4",13.4,33,"S2 11:30","3"
"94","CO1_2.F1.1041.a.S98.L001","1041","CO1_2.F1.1041.a.S98.L001","1041.a","sample","2","17:00","N","4",12.9,33.2,"N 17:00","3"
"95","CO1_2.F2.1041.b.S106.L001","1041","CO1_2.F2.1041.b.S106.L001","1041.b","sample","2","17:00","N","4",12.9,33.2,"N 17:00","3"
"96","CO1_2.F3.1041.c.S114.L001","1041","CO1_2.F3.1041.c.S114.L001","1041.c","sample","2","17:00","N","4",12.9,33.2,"N 17:00","3"
"97","CO1_2.G1.1042.a.S99.L001","1042","CO1_2.G1.1042.a.S99.L001","1042.a","sample","2","15:30","S1","4",16.4,32.9,"S1 15:30","1"
"98","CO1_2.G2.1042.b.S107.L001","1042","CO1_2.G2.1042.b.S107.L001","1042.b","sample","2","15:30","S1","4",16.4,32.9,"S1 15:30","1"
"99","CO1_2.G3.1042.c.S115.L001","1042","CO1_2.G3.1042.c.S115.L001","1042.c","sample","2","15:30","S1","4",16.4,32.9,"S1 15:30","1"
"100","CO1_2.H1.1043.a.S100.L001","1043","CO1_2.H1.1043.a.S100.L001","1043.a","sample","2","15:30","S2","4",15.3,32.9,"S2 15:30","1"
"101","CO1_2.H2.1043.b.S108.L001","1043","CO1_2.H2.1043.b.S108.L001","1043.b","sample","2","15:30","S2","4",15.3,32.9,"S2 15:30","1"
"102","CO1_2.H3.1043.c.S116.L001","1043","CO1_2.H3.1043.c.S116.L001","1043.c","sample","2","15:30","S2","4",15.3,32.9,"S2 15:30","1"
"103","CO1_2.A4.1044.a.S117.L001","1044","CO1_2.A4.1044.a.S117.L001","1044.a","sample","2","11:30","S1","4",14.3,33.2,"S1 11:30","3"
"104","CO1_2.A5.1044.b.S125.L001","1044","CO1_2.A5.1044.b.S125.L001","1044.b","sample","2","11:30","S1","4",14.3,33.2,"S1 11:30","3"
"105","CO1_2.A6.1044.c.S133.L001","1044","CO1_2.A6.1044.c.S133.L001","1044.c","sample","2","11:30","S1","4",14.3,33.2,"S1 11:30","3"
"106","CO1_2.B4.1045.a.S118.L001","1045","CO1_2.B4.1045.a.S118.L001","1045.a","sample","2","14:00","S2","4",15.2,33.1,"S2 14:00","3"
"107","CO1_2.B5.1045.b.S126.L001","1045","CO1_2.B5.1045.b.S126.L001","1045.b","sample","2","14:00","S2","4",15.2,33.1,"S2 14:00","3"
"108","CO1_2.B6.1045.c.S134.L001","1045","CO1_2.B6.1045.c.S134.L001","1045.c","sample","2","14:00","S2","4",15.2,33.1,"S2 14:00","3"
"109","CO1_2.C4.1046.a.S119.L001","1046","CO1_2.C4.1046.a.S119.L001","1046.a","sample","2","14:00","S1","4",16,32.8,"S1 14:00","3"
"110","CO1_2.C5.1046.b.S127.L001","1046","CO1_2.C5.1046.b.S127.L001","1046.b","sample","2","14:00","S1","4",16,32.8,"S1 14:00","3"
"111","CO1_2.C6.1046.c.S135.L001","1046","CO1_2.C6.1046.c.S135.L001","1046.c","sample","2","14:00","S1","4",16,32.8,"S1 14:00","3"
"112","CO1_2.D4.1047.a.S120.L001","1047","CO1_2.D4.1047.a.S120.L001","1047.a","sample","2","17:00","S1","4",15.2,33.5,"S1 17:00","2"
"113","CO1_2.D5.1047.b.S128.L001","1047","CO1_2.D5.1047.b.S128.L001","1047.b","sample","2","17:00","S1","4",15.2,33.5,"S1 17:00","2"
"114","CO1_2.D6.1047.c.S136.L001","1047","CO1_2.D6.1047.c.S136.L001","1047.c","sample","2","17:00","S1","4",15.2,33.5,"S1 17:00","2"
"115","CO1_2.F4.1049.a.S122.L001","1049","CO1_2.F4.1049.a.S122.L001","1049.a","sample","2","14:00","N","5",15.9,33.1,"N 14:00","3"
"116","CO1_2.F5.1049.b.S130.L001","1049","CO1_2.F5.1049.b.S130.L001","1049.b","sample","2","14:00","N","5",15.9,33.1,"N 14:00","3"
"117","CO1_2.F6.1049.c.S138.L001","1049","CO1_2.F6.1049.c.S138.L001","1049.c","sample","2","14:00","N","5",15.9,33.1,"N 14:00","3"
"118","CO1_2.G4.1050.a.S123.L001","1050","CO1_2.G4.1050.a.S123.L001","1050.a","sample","2","15:00","S2","5",15.6,33,"S2 15:00","1"
"119","CO1_2.G5.1050.b.S131.L001","1050","CO1_2.G5.1050.b.S131.L001","1050.b","sample","2","15:00","S2","5",15.6,33,"S2 15:00","1"
